GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC03,2014 Estimate; SEX AND AGE - Total population
HC02_VC03,2013 Estimate; SEX AND AGE - Total population
HC03_VC03,2014 - 2013 Statistical Significance; SEX AND AGE - Total population
HC04_VC03,2012 Estimate; SEX AND AGE - Total population
HC05_VC03,2014 - 2012 Statistical Significance; SEX AND AGE - Total population
HC06_VC03,2011 Estimate; SEX AND AGE - Total population
HC07_VC03,2014 - 2011 Statistical Significance; SEX AND AGE - Total population
HC08_VC03,2010 Estimate; SEX AND AGE - Total population
HC09_VC03,2014 - 2010 Statistical Significance; SEX AND AGE - Total population
HC01_VC04,2014 Estimate; SEX AND AGE - Total population - Male
HC02_VC04,2013 Estimate; SEX AND AGE - Total population - Male
HC03_VC04,2014 - 2013 Statistical Significance; SEX AND AGE - Total population - Male
HC04_VC04,2012 Estimate; SEX AND AGE - Total population - Male
HC05_VC04,2014 - 2012 Statistical Significance; SEX AND AGE - Total population - Male
HC06_VC04,2011 Estimate; SEX AND AGE - Total population - Male
HC07_VC04,2014 - 2011 Statistical Significance; SEX AND AGE - Total population - Male
HC08_VC04,2010 Estimate; SEX AND AGE - Total population - Male
HC09_VC04,2014 - 2010 Statistical Significance; SEX AND AGE - Total population - Male
HC01_VC05,2014 Estimate; SEX AND AGE - Total population - Female
HC02_VC05,2013 Estimate; SEX AND AGE - Total population - Female
HC03_VC05,2014 - 2013 Statistical Significance; SEX AND AGE - Total population - Female
HC04_VC05,2012 Estimate; SEX AND AGE - Total population - Female
HC05_VC05,2014 - 2012 Statistical Significance; SEX AND AGE - Total population - Female
HC06_VC05,2011 Estimate; SEX AND AGE - Total population - Female
HC07_VC05,2014 - 2011 Statistical Significance; SEX AND AGE - Total population - Female
HC08_VC05,2010 Estimate; SEX AND AGE - Total population - Female
HC09_VC05,2014 - 2010 Statistical Significance; SEX AND AGE - Total population - Female
HC01_VC08,2014 Estimate; SEX AND AGE - Under 5 years
HC02_VC08,2013 Estimate; SEX AND AGE - Under 5 years
HC03_VC08,2014 - 2013 Statistical Significance; SEX AND AGE - Under 5 years
HC04_VC08,2012 Estimate; SEX AND AGE - Under 5 years
